_id,type,sourceId,url,firstPublishDate,lastPublishDate,lastModifiedDate,path,source,location,byLine,headline,body,section,mappedSection,thumbnail,livestorySourceId
h_a16b955b0101afce80dc8ce8976f449e,article,article_28770923-7AEA-2C33-85E1-861DA53B4C5A,https://www.cnn.com/2020/06/05/politics/william-barr-dc-protests-trump-loyalty/index.html,2020-06-05T21:45:59Z,2020-06-05T21:45:59Z,2020-06-05T21:45:59Z,/2020/06/05/politics/william-barr-dc-protests-trump-loyalty,cnn,,"By Evan Perez and David Shortell, CNN","Barr embraced tough response to DC protests, once again proving his loyalty to Trump","On Monday after dark, as federal forces took control of parts of the capital city showing the scars from days of protests that at times devolved into looting and defacement of historic monuments, Attorney General William Barr patrolled the streets. Surrounded by servicemen in camouflage fatigues and striding alongside the country's top military officials, the attorney general observed the results of the crackdown he'd called for. One night before, he'd watched from the Justice Department headquarters on Pennsylvania Avenue as pictures streamed in of fires and broken glass just steps from the White House. He'd later describe the disorder with",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/200603180454-03-bill-barr-los-angeles-riots-attorney-general-story-body.jpg,
h_5f2ef81a22170f19a708af59e6b4d987,article,article_A64105AB-11E5-49B8-D703-860AF9901FB0,https://www.cnn.com/2020/06/05/health/gupta-coronavirus-podcast-wellness-june-5/index.html,2020-06-05T21:24:24Z,2020-06-05T21:28:01Z,2020-06-05T21:28:01Z,/2020/06/05/health/gupta-coronavirus-podcast-wellness-june-5,cnn,,By CNN staff,Two Viruses: Dr. Sanjay Gupta's coronavirus podcast for June 5,"Covid-19 isn't the only health crisis threatening our nation right now. CNN Chief Medical Correspondent Dr. Sanjay Gupta talks to epidemiologist Dr. Camara Jones about the serious impact of racism on public health. Jones is senior fellow at the Satcher Health Leadership Institute and the Cardiovascular Research Institute at the Morehouse School of Medicine. She also shares important guidance for protesters to help reduce the spread of coronavirus. You can listen on your favorite podcast app, or read the transcript below. Dr. Sanjay Gupta: These are the sounds of protest. For the past 10 days, people across the country have",health,HEALTH,https://cdn.cnn.com/cnnnext/dam/assets/200402114757-gupta-coronavirus-podcast-top-story-body.jpg,
h_9271599b43588fc1415fb2787244fcaa,article,article_CC0ACC94-042F-AD2C-133A-85C31F053A32,https://www.cnn.com/2020/06/05/politics/trump-jobs-presser-fact-check/index.html,2020-06-05T20:37:46Z,2020-06-05T21:26:57Z,2020-06-05T21:26:57Z,/2020/06/05/politics/trump-jobs-presser-fact-check,cnn,Washington,"By Daniel Dale, Holmes Lybrand, Marshall Cohen and Tara Subramaniam, CNN",Fact check: Trump glosses over racial disparities in jobs numbers while invoking George Floyd,"President Donald Trump had stunningly good jobs data to talk about on Friday. Instead of rising, as expected, the US unemployment rate surprisingly fell to 13.3% in May, as the economy gained 2.5 million jobs. It was the largest monthly gain in new jobs since the Bureau of Labor Statistics started tracking the data series in 1939. While Trump did accurately tout these numbers, he also made his usual assortment of lies and exaggerations -- delivering a rambling Rose Garden monologue in which he misled Americans about a variety of subjects on which he has been regularly dishonest. No, Trump",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/200605113841-02-trump-presser-0605-story-body.jpg,
h_8e584f1d3c2545d1db1fd95aeefe444e,article,article_9C472E68-6ED2-A408-4363-85E2D9764FF1,https://www.cnn.com/2020/06/05/politics/ex-national-security-officials-criticize-trump-protests-tactics/index.html,2020-06-05T20:45:22Z,2020-06-05T20:45:22Z,2020-06-05T20:45:22Z,/2020/06/05/politics/ex-national-security-officials-criticize-trump-protests-tactics,cnn,,"By Kylie Atwood and Kelly Mena, CNN",Former national security officials criticize Trump's approach to protesters in new letter,"More than 280 former national security officials on Friday criticized President Donald Trump's aggressive approach to peaceful protesters, and expressed concern about the presence of US military assets at demonstrations across the country. The former officials described their concerns over the ""misuse of the military for political purposes"" on protesters in Washington in a letter titled ""The Strength of America's Apolitical Military."" ""There is no role for the U.S. military in dealing with American citizens exercising their constitutional right to free speech, however uncomfortable that speech may be for some,"" the letter stated. Trump has called protesters -- who have",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/200603170100-01-enforcement-presence-dc-story-body.jpg,
h_72a44a96a59c1cd2472a675de512cc07,video,video_2502059B-8EA2-5B74-DEC2-850D5FD5615A,https://www.cnn.com/videos/politics/2020/06/05/president-donald-trump-george-floyd-orig-llr.cnn,2020-06-05T19:24:36Z,2020-06-05T20:31:42Z,2020-06-05T20:31:42Z,/videos/politics/2020/06/05/president-donald-trump-george-floyd-orig-llr.cnn,cnn,,,President Trump: This is a great day for George Floyd,"President Donald Trump said during a press conference that hopefully George Floyd, who died while in Minneapolis police custody and whose death spurred nationwide protests on racial injustice, is looking down on what's happening and called it a ""great day"" for Floyd.",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/200605113841-02-trump-presser-0605-story-body.jpg,
h_0b8decd4961bae35be0c15713f2f9bf3,article,article_54FDC59F-9947-39A9-E805-850E989674E0,https://www.cnn.com/2020/06/05/politics/john-kelly-agrees-with-jim-mattis-on-trump/index.html,2020-06-05T15:43:19Z,2020-06-05T20:27:09Z,2020-06-05T20:27:09Z,/2020/06/05/politics/john-kelly-agrees-with-jim-mattis-on-trump,cnn,,"By Sarah Westwood, CNN",Former White House chief of Staff John Kelly: 'I agree' with Jim Mattis on Trump,"Former White House chief of staff John Kelly said Friday he agrees with former Secretary of Defense Gen. Jim Mattis' stark warning this week that President Donald Trump is ""the first president in my lifetime who does not try to unite the American people"" as nationwide protests have intensified over the death of George Floyd. ""I agree with him,"" Kelly told Anthony Scaramucci, former White House communications director, during a live-streamed interview. ""There is a concern, I think an awful big concern, that the partisanship has gotten out of hand, the tribal thing has gotten out of hand,"" Kelly said.",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/181207080229-10-john-kelly-lead-image-story-body.jpg,
h_8f05e9fbee6eebab44e1e424fe1f9252,article,article_2E0B0A5E-98EF-C3C6-9D53-85B9E388854C,https://www.cnn.com/2020/06/05/politics/esper-washington-troops-back-to-base/index.html,2020-06-05T18:33:54Z,2020-06-05T20:17:25Z,2020-06-05T20:17:25Z,/2020/06/05/politics/esper-washington-troops-back-to-base,cnn,,"By Barbara Starr, CNN Pentagon Correspondent",Esper orders remainder of active duty troops in Washington region back to home base,"Secretary of Defense Mark Esper has ordered that active duty troops who were moved to the Washington DC area should return to their home base of Fort Drum in New York, Army Secretary Ryan McCarthy said Friday. On Thursday, Esper ordered about 700 of the 1,600 active duty troops who were brought to the Washington region on Monday back to Fort Bragg in North Carolina. Friday's order to the New York-based troops removes almost all the active duty presence brought in to bolster law enforcement. The troops had been positioned around Washington on ""heightened alert status"" to allow for their",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/200601174152-military-vehicles-wh-story-body.jpg,
h_c075c341298202aa9d6439e30a9b8387,article,article_0F2C323F-A608-6B17-A20B-80E517B38A45,https://www.cnn.com/2020/06/04/politics/keith-ellison-george-floyd-case/index.html,2020-06-04T20:28:09Z,2020-06-05T19:57:37Z,2020-06-05T19:57:37Z,/2020/06/04/politics/keith-ellison-george-floyd-case,cnn,,"By Gregory Krieg, CNN",'He's withstood a lot of pressure': Keith Ellison prepares to take on the George Floyd case,"The whole world is watching Keith Ellison. When Ellison made the eleventh hour announcement that he would leave Congress in 2018, and enter the attorney general's race in Minnesota, many viewed it as his exit from the national stage. But Minnesota Gov. Tim Walz's decision this week to hand over the investigation and cases arising from the killing of George Floyd to Ellison has thrust the trailblazing former congressman into the crucible of a legal and political fight poised to grip the country for months. Walz brought Ellison in to lead the prosecution, he said, after speaking to Floyd's family,",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/170209171933-keith-ellison-story-body.jpg,
h_e2c5e53c5646a2417462229f3e0f0de0,article,article_47598007-4436-9D78-7DDA-7FCF1FCDABEF,https://www.cnn.com/2020/06/04/politics/electoral-map-2020-election-donald-trump-joe-biden/index.html,2020-06-04T16:41:45Z,2020-06-05T19:48:35Z,2020-06-05T19:48:35Z,/2020/06/04/politics/electoral-map-2020-election-donald-trump-joe-biden,cnn,,"Analysis by Chris Cillizza, CNN Editor-at-large",The electoral map is tilting badly against Donald Trump right now,"Amid the protests following the police killing of George Floyd and the ongoing fight against the coronavirus pandemic, something very important has been overlooked: President Donald Trump is now a decided underdog to reach the 270 electoral votes he needs to win a second term in the fall. A series of polls in swing (and not-so-swing) states released Wednesday make this reality plain. * A Fox News poll in Arizona shows Joe Biden leading Trump 46% to 42% * A Fox News poll in Ohio put Biden at 45% to Trump's 43% * A Fox News poll in Wisconsin had",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/170911135115-0911-2016-election-results-map-story-body.jpg,
h_39a669f1dadd53e72d3017d80418c00b,article,article_B4CB24FF-8039-9A90-EE46-8488FF9DC800,https://www.cnn.com/2020/06/05/opinions/start-systemically-reforming-the-police-sellers/index.html,2020-06-05T19:40:02Z,2020-06-05T19:40:02Z,2020-06-05T19:40:02Z,/2020/06/05/opinions/start-systemically-reforming-the-police-sellers,cnn,,Opinion by Bakari Sellers,How we can start systemically reforming the police,"These last few days have been extremely difficult for all of us. My heart aches for every family who must bear the loss of a loved one at the hands of the state they pay for and that is constitutionally bound to protect them. The latest string of officer-involved killings has rightfully spawned national outrage and protests. But to heal and create a system of policing where law enforcement officers accused of misconduct are brought to justice, we must leverage our anger and frustration to drive systemic change. For years, law enforcement has too often ""stacked the deck"" legally by",opinions,OPINION,https://cdn.cnn.com/cnnnext/dam/assets/150626163352-bakari-sellers-hedshot-story-body.jpg,
